headline,label
"અમદાવાદઃખેતરમાંથી સીધી હવે કેસર કેરી ગ્રાહકો સુધી પહોચશે,મેયરે કેરી મહોત્સવ ખુલ્લો મુક્યો",business
5 વર્ષ બાદ એક સાથે ઓન-સ્ક્રીન પર નજર આવશે સૈફીના,entertainment
"આઇડિયા-વોડાફોન એકબીજામાં ભળી જશે, બનશે દેશની સૌથી મોટી ટેલિકોમ કંપની",business
મૃત વ્યક્તિઓને આવી રીતે જીવિત રાખવાની તૈયારીમાં વેજ્ઞાનિક!,tech
PHOTOS: આકાશ અંબાણી અને શ્લોકા મહેતાનાં લગ્નમાં બોલિવૂડનાં A સ્ટાર્સનો જમાવડો,entertainment
"માત્ર 1947 રૂપિયામાં મળી રહ્યો છે 44 હજારનો ફોન, ફટાફટ કરો બુકિંગ",tech
"મળી ગયું હોય બોનસ-ઇન્ક્રીમેન્ટ તો પહેલા કરો 3 કામ, નહીં રહે પૈસાની ટેન્શન",business
હિના ખાને વેડિંગ મેગેઝીનનાં કવર પેજ માટે કરાવ્યું હોટ ફોટોશૂટ,entertainment
એરપોર્ટ પર સ્પોટ થયા વિરાટ-અનુષ્કા અને શાહરૂખ-સુહાના જુઓ Photos,entertainment
"શું ગરોળી ખાય છે આ એક્ટ્રેસ, મોટાં મોટાં હીરો સાથે કર્યુ છે કામ",entertainment
68માં જન્મદિવસ પર રજનીકાંતની ફિલ્મ 'પેટ્ટા'નું ટીઝર થયું રિલીઝ,entertainment
"સારા અને સુઝૈન પાર્લર બહાર થયા સ્પોટ, જુઓ Pics",entertainment
"આટલા મોંઘા સ્કર્ટમાં નજર આવી પ્રિયંકા ચોપડા, જુઓ તસવીર",entertainment
‘સ્પીડ’માં બધાને પછાડવા આવી રહ્યો છે OnePlus 6,tech
#MeToo: સલમાન ખાન પર બિગ બોસની પૂર્વ સ્પર્ધકે લગાવ્યો બળાત્કારનો આરોપ,entertainment
"હવે દેશભરમાં મળશે ઇન્ટરનેટ, PCO હેઠળ ખુલશે ડેટા સેન્ટરો",tech
"સતત બીજા દિવસે પણ પેટ્રોલ-ડીઝલના ભાવમાં વધારો, આજે આ ભાવ છે",business
"શ્રીદેવીના રાજકીય સન્માન સાથે અંતિમ સંસ્કાર, RTIમાં થયા ખુલાસા",entertainment
માત્ર 10 હજાર રુપિયામાં બૂક કરાવો Maruti Ciaz,tech
Lust Stories : ઓર્ગેઝમ સીનમાં લતાજીનું સોન્ગ યૂઝ થતા ગુસ્સે થયો મંગેશકર પરિવાર,entertainment
"Paytmએ શરૂ કરી નવી સ્કીમ, બેન્કની FDથી વધારે મળશે નફો",business
"ટીવીની સૌથી ફેમસ 'ભાભી'નો બદલાયો અંદાજ, હોટ ફોટોઝ VIRAL",entertainment
શા માટે દબંગ-3 માંથી હટાવી દીધી કરીના કપૂરને?,entertainment
"VIDEO: પ્રિયા પ્રકાશની જેમ હવે શિલ્પા શિંદેએ કર્યો આંખથી ઇશારો, આ ક્રિકેટર થયો ઘાયલ",entertainment
"'ઓક્ટોબર' પછી મોંઘો થયો વરૂણ, કેટરિનાથી પણ વધુ 25 કરોડ ફી",entertainment
જાણો બોલીવુડના ટોપ 10 એક્ટર્સ એક ફિલ્મની કેટલી ફી લે છે?,entertainment
"ફિલ્મ 'ઉરી'નું સ્ક્રિનિંગ: સ્ટાર્સે નિહાળી વિક્કી કૌશલની ફિલ્મ, તસવીરોમાં જુઓ રિએક્શન",entertainment
"ભારતની આ છે સૌથી મોંઘી કાર, આટલી કિંમતમાં તો તૈયાર થઇ જાય એક મહેલ",tech
Startup India મુજબ નવો વેપાર શરૂ કરવા માટે આ રાજ્ય છે બેસ્ટ,business
"બિગ બોસની આ સ્પર્ધકે કરાવ્યું બોલ્ડ ફોટોશૂટ, જુઓ Pics",entertainment
આ વીડિયો જોઇને લાગશે કે ઐશ્વર્યા તેમના સાસુને પણ આટલો પ્રેમ નહીં કરતી હોય?,entertainment
"'ધોની'ની ફિલ્મી ગર્લફ્રેન્ડે શેર કર્યા Bikini Photos, પૂલનાં કિનારે જુઓ તેનો હોટ અંદાજ",entertainment
"ફરાહ કાદીરે ઇનસ્ટાગ્રામ પર શેર કર્યા બોલ્ડ ફોટો, થયા વાઇરલ",entertainment
આ વર્ષે પણ પ્રખ્યાત પુસ્તકો પરથી બનશે ફિલ્મો ...,entertainment
"Thugs Of Hindostan: આમિરે જાહેર કર્યો ફિલ્મનો લોગો, આ દિવસે રિલીઝ થશે ફિલ્મ",entertainment
"પાણીમાં પડેલો તમારો ફોન સરખો થઇ જશે, પરંતુ ભુલથી પણ ન કરતા ‘આવું’ કામ",tech
Thurayaએ લોન્ચ કર્યો અનોખો સેટેલાઈટ ફોન,tech
"સલમાનનાં લગ્નની ખાસ તૈયારીઓ, જુઓ કોણ છે મિસિસ ખાન?",entertainment
"મોદી સરકારની કાર ખરીદનારાઓને ભેટ, આ છે નવી પોલિસી",business
આ નંબર તમને જણાવશે તમારો સ્માર્ટ ફોન વોટરપ્રૂફ છે કે નહીં,tech
"શ્રદ્ધા કપૂરે 'સ્ત્રી' ના પ્રમોશન માટે અપનાવ્યો હોટ અવતાર, જુઓ તસવીર",entertainment
શેરોમાં આવશે ચમક: ડિસેમ્બર સુઘી સેન્સેક્સ જશે 33000 સુઘી,business
સરકારી બેંકોમાં તમારાં નાણાં સુરક્ષિત રહેશેઃ કેન્દ્રીય પ્રધાન પીયૂષ ગોયલ,business
સાવધાન! EPFOની વેબસાઇટમાંથી ડેટા ચોરી થતા તમને થઈ શકે છે આ નુકસાન,business
શું હવે વરૂણ ધવન કરશે લગ્ન? ગર્લફ્રેન્ડે શરુ કરી તૈયારીઓ,entertainment
"10 ખુબ જ સુંદર પાકિસ્તાની અભિનેત્રીઓ, જેનાથી અજાણ છે બોલીવૂડ ફેન્સ",entertainment
"રાષ્ટ્રપતિથી નારાજ થયા એક્ટર્સ, નેશનલ એવોર્ડ બોયકોટ કરવાની આપી ચીમકી",entertainment
"માત્ર 59 મિનિટમાં મળશે રૂ.1 કરોડની લોન; કાલથી જ, જાણો કેવી રીતે ?",business
10 હજાર લગાવીને લાખો રૂપિયા બનાવવાની તક!,business
Youtube સાથે જોડાયેલ આ વાતો કદાચ તમને ક્યારે નહીં સાંભળી હોય,tech
"માટી વગર કરો ખેતી, ઘરે બેસી આ Businessથી કરો અઢળક કમાણી",business
6GB રેમ અને ડ્યુઅલ રિયર કેમેરા સાથે Moto G6 Plus લોન્ચ,tech
Latest Photos:પહેલાં કરતાં ઘણી જ પાતળી થઇ ગઇ છે સોનાક્ષી,entertainment
જુઓ બોલિવૂડ સેલિબ્રિટીઝનાં અવનવા Tattoos,entertainment
સોનાના આભૂષણો ખરીદવાનો છે પ્લાન? તો થોડો સમય રોકાઈ જાવ,business
"'ઠગ્સ..'માં જુઓ બિગ બીનો 'ખુદાબક્ષ' અદાજ, અન્ય ફિલ્મોમાં સેલિબ્રિટીઝનાં First look",entertainment
"અમદાવાદઃઓર્ગેનિક ચોખાથી ચેતજો!,સ્વાસ્થ સાથે થઇ રહ્યા છે ચેડા!",business
વરિષ્ઠ નાગરિકોએ ઈન્ડિયન રેલવેને ભેટમાં આપ્યા 40 કરોડ રૂપિયા,business
...અને વિદ્યા બાલને શેર કર્યા રિઅલ લાઇફનાં 'બેડરૂમ સિક્રેટ'!,entertainment
"19 એપ્રિલે લોન્ચ થશે Motorolaનો આ ફોન, લીક થયા ફોટો અને ફીચર્સ",tech
ભડકે બળતા ભાવઃ રાજ્યના અનેક શહેરોમાં પેટ્રોલની કિંમત રૂ. 80ને પાર,business
"નીરવ મોદીના જેકેટમાં એવુ શું છે ખાસ, જેની કિંમત છે આઠ લાખ રૂપિયા",business
"રણબીર નહીં પરંતુ આ કારણે આલિયા ભટ્ટ હતી પરેશાન, વાયરલ તસવીરનું ખુલ્યું રહસ્ય",entertainment
"Realme 2 અને Redmi 6 Pro: ક્યો ફોન છે તમારા માટે બેસ્ટ, જાણી લો આ ખાસ વાતો",tech
"જાણો, બજેટમાં શું સસ્તુ થયું? શું મોંઘું થયું?",business
ભારતની સૌથી ફાસ્ટ Train 18 4 ફેબ્રુઆરીથી થશે શરૂ,business
'સંજૂ'ની ટિકા કરવા બદલ બહેન પ્રિયાનો RSSને જવાબ- 'મારો ભાઇ રોલ મોડલ છે',entertainment
12000 વેબસાઇટ બ્લોક કરવા છતા ગણતરીનાં કલાકોમાં લિક થઇ ગઇ રજની-અક્કીની '2.0',entertainment
ગોવાના લોકોની ટૂરિસ્ટ્સને સલાહ- Google Map પર ન કરો વિશ્વાસ,tech
SAMSUNG આ મહિનામાં ભારતમાં લોન્ચ કરશે આ ચાર સ્માર્ટફોન,tech
"એક જ નિર્ણયથી બદલાઈ ગઈ કિસ્મત, વર્ષભરમાં ફેમિલીને કરાવ્યો કરોડોનો ફાયદો",business
"સોમવારે માલ્યાના પ્રત્યર્પણ પર આવી શકે છે ચુકાદો, CBI-EDની ટીમ બ્રિટન જવા રવાના",business
"સામે આવ્યું Maruti Balenoનું અપગ્રેડ વર્ઝન, શું તમે જોયું?",tech
"RBI બહાર પાડશે રૂ.100ની નવી નોટ, આવી રીતે કરો અસલી-નકલીની ઓળખ",business
Happy Diwali 2018: આ રીતે ફોડશો ફટાકડા તો નહીં થાય ધુમાડો,tech
"Facebook હોય કે Twitter, ભૂલથી પણ શેર ન કરો આ 7 વાત",tech
સારા બજેટના સંકેત : CM આનંદીબેન પટેલે શું કહ્યું? જોવો Video,business
ફિલ્મફેરની કવર ગર્લ બનીને આ એકટ્રેસ પ્રિયંકાને આપી રહી છે ટક્કર,entertainment
વચગાળાનું બજેટ એટલે શું? કેમ વચગાળાનું બજેટ રજૂ કરવામાં આવે છે?,business
ટીવીની હોટનેસ એકટ્રેસે બિકિની ફોટા શેર કરી મચાવી સનસનાટી,entertainment
આપની ફેવરેઇટ સિરિયલ 'યે હૈ મોહાબતે'માં થશે વધુ એક પાત્રનું મોત,entertainment
સન ફાર્માના માલિકને એક ઈ-મેલે આપ્યો મોટો ઝટકો! 15 મિનિટમાં ડૂબ્યા 10 હજાર કરોડ,business
"તસવીર જોઇને કહો કોણ છે આ અભિનેત્રી, આજે છે બોલિવૂડની સુપરસ્ટાર",entertainment
"સૌથી સસ્તા 'ફ્રીડમ 251' સ્માર્ટફોનની વેબસાઇટ ક્રેશ, બુકીંગ થયું બંધ!",business
"પ્રિયંકા-નિક બન્યા જીવનસાથી, મહેંદી સેરેમનીની તસવીરો આવી સામેઃ PICS",entertainment
WhatsApp પર સમાચાર મેળવવા માટે બસ આટલું કરો!,tech
Instagram પર ફોલોઅર્સ વધારવા છે? તો અપાનાવો આ પાંચ રીત,tech
"શું લીક થઇ ગઇ મલાઇકા-અર્જુનનાં લગ્નની તારીખ, વાંચો સંપૂર્ણ માહિતી",entertainment
"ખાસ ડિસ્પ્લે સાથે લોન્ચ થયો Huaweiનો આ સ્માર્ટફોન, આઈફોન Xને આપશે ટક્કર?",tech
"PHOTOS:આજના એપિસોડમાં ઇન્ટિમેટ થશે ઝોયા-આદિત્ય, જોવા મળશે 'બેપનાહ' પ્રેમ",entertainment
"Photos: ભારતમાં લોન્ચ થઇ નવી હ્યુન્ડાઇ સેન્ટ્રો હેચબેક કાર, જુઓ તસવીરો",tech
હવે એરટેલનું ઈન્ટરનેટ પેક પણ થયું મોંઘુ,business
આ પાકિસ્તાની એક્ટ્રેસને પોતાના જન્મ દિવસે મળ્યા ખરાબ સમાચાર...,entertainment
"BIRTHDAY SPECIAL: સોનમ કપૂરના 15 લૂક, જે તેને બનાવે છે સ્ટાઈલ ક્વીન",entertainment
"Skoda superb spotline ભારતમાં લોન્ચ, લૂક્સ એવો છે કે Audi, Mercedes પણ થઇ ગઇ ફેલ",tech
"'તારક મહેતા....' માં પરત ફરશે 'દયાબેન'?, શો મેકર્સે કર્યો ખુલાસો",entertainment
મેહુલ ચોકસીના સહયોગી દીપક કુલકર્ણીની કોલકાત્તા એરપોર્ટથી ધરપકડ,business
"સોનાલી બેન્દ્રે બાદ આ અભિનેત્રીને થયું કેન્સર, કહ્યું - 'ત્રીજા સ્ટેજ પર છું'",entertainment
"Leaked Video: આ છે શ્રેયા સરનનાં લગ્નનો પુરાવો, જોઇ લો તમે જ",entertainment
"યૂનિવર્સલ બેઝિક ઇનકમ વિશે ચિદમ્બરમે કહ્યુ, ફક્ત ગરીબોને મળશે ફાયદો",business
"દિવાળી પર બમ્પર ધમાકો, આ કાર પર મળી રહ્યું છે ભારે ડિસ્કાઉન્ટ",tech
"ફરી લગ્ન કરવા માગે છે કરીના કપૂર ખાન, જાણો શું છે કારણ",entertainment
"Samsung M10, M20ના ફોન પર મળી રહ્યો છે રુ.3110નો ફાયદો",tech
"ક્યારે પણ ન ખરીદો તમારા મોબાઈલ માટે આવું કવર, થઈ શકે છે ભારે નુકશાન",tech
"આરકે સ્ટુડિયોમાં આખરી ગણપતિ વિસર્જન, ભાવુક બની કપૂર પરિવારે આપી વિદાય",entertainment
Budget 2019: બજેટ દરમિયાન સદનમાં કેમ લાગ્યા ‘મોદી-મોદી’ના નારા,business
"હિંમતનગરઃશાકભાજીના ભાવ આસમાને પહોંચ્યા,મોંઘવારીમાં ગૃહિણીઓનું બજેટ ખોરવાયું",business
"દાળની વધતી કિંમતો મામલે જાગી સરકાર, બોલાવી ખાસ બેઠક",business
"આ વર્ષે 5G ટેક્નોલોજીની રહેશે બોલબોલા, સેકન્ડ્સમાં જ ડાઉનલોડ થશે વીડિયો",tech
"સપ્ટેમ્બરથી બદલાઈ જશે કાર-સ્કૂટરના વીમાના નિયમો, ચૂકવવા પડશે વધારે પૈસા",business
"સસ્તી હવાઈ મુસાફરીનો ફરી અવસર, આ કંપનીઓએ નીકાળ્યો 900 રૂપિયામાં સેલ",business
"બજેટ 2019: નાના ખેડૂતો માટે સરકારની મોટી જાહેરાત, વર્ષે રૂ. 6 હજારની સહાય ચુકવાશે",business
"શું તમે જાણો છો, એક ફોન પર કેટલું કમાય છે સેમસંગ, એપલ જેવી કંપનીઓ",business
Gmail યૂઝર્સ માટે આવી રહ્યું છે શાનદાર ફિચર!,tech
"અનિલ કપૂરે PM મોદી સાથે કરી ખાસ મુલાકાત, કહી આ વાત",entertainment
"બહેન ફરાહ ખાને સાજિદની હરકત પર કરી કમેન્ટ, કહ્યું કઇક આવું!",entertainment
રિલાયન્સ ઇન્ડસ્ટ્રીઝના નફામાં 7398 કરોડનો થયો વધારો,business
"આ ફોન ખરીદવાનો આજે છેલ્લો દિવસ, જો નહી ખરીદો તો પસ્તાશો",tech
પ્રિયંકાએ ખાસ ફોટો શેર કરીને સગાઇનાં સમચાર કર્યા પાક્કા!,entertainment
19 કરોડ લોકોના PAN કાર્ડ થઇ જશે રદ્દ! જાણો શા માટે,business
"RBIએ નાના વેપારીઓને આપી મોટી રાહત, આ થશે ફાયદા",business
કો-એકટ્રેસને કિસ કર્યા બાદ લોકપ્રિય બનેલી લીના સ્વીમશૂટમાં આવી નજર,entertainment
"સેન્સેક્સમાં હાહાકાર, જોવો વીડિયો",business
સની પર લાગ્યો આ અભિનેત્રીનો નંબર પોર્ન ઈન્ડસ્ટ્રીમાં આપવાનો આરોપ,entertainment
"મા દુર્ગાની આરાધનામાં ડુબ્યા બોલિવૂડ સેલિબ્રિટીઝ, જુઓ વર્ષ 2018ની તસવીરો",entertainment
"તનુશ્રી-નાના વિવાદમાં ડેઝી શાહે નોંધાવ્યું નિવેદન, પોલીસ સ્ટેશનમાં વિતાવ્યા અઢી કલાક",entertainment
હોળી સ્પેશલ: ફક્ત રૂ. 1000 મળશે વિમાનની ટિકિટ,business
"'બાહુબલી'ની ફિલ્મ 'શાહો'ના એક સીનમાં ખર્ચાયા 90 કરોડ, જાણો કેવી હશે આ ફાઇટ",entertainment
ભજન સમ્રાટ અનુપ જલોટા 37 વર્ષ નાની ગર્લફ્રેન્ડને લીધે ચર્ચામાં,entertainment
"2019માં આવનારી આ ટેકનોલોજી બદલી નાખશે તમારી જિંદગી, જાણો અહીં",tech
"ફ્લિપકાર્ટ પર આવ્યો માઈક્રોમેક્સનો નવો બજેટ સ્માર્ટફોન, જાણો ખાસિયતો",tech
"મોદીએ કરાવ્યું બેંકોની 500 શાખાઓમાં સ્ટીંગ, 400 સીડી નાણા મંત્રાલય મોકલાઇ",business
"ભારતીય શેરબજારમાં કડાકો, સેન્સેક્સમાં 500 પોઇન્ટનો ઘટાડો",business
"PUBGના લવર્સ માટે ખુશખબર, થયા નવા બદલાવ",tech
PHOTOS: ટીવીની સંસ્કારી વહૂ જ્યારે બિકિની પહેરી દરિયામાં ઉતરી...,entertainment
"સરકારી કર્મચારીઓને કેન્દ્રની ભેટ, મળશે બોનસ",business
સોનમના લગ્ન પહેલા ડાન્સની પ્રેક્ટિસનો VIDEO લીક,entertainment
"ટાઇગરની બહેને શેર કરી ટોપલેસ તસવીરો, ઇન્ટરનેટ પર મચી સનસની",entertainment
નીતૂ કપૂરે પેરિસમાં પરિવાર સાથેઉજવ્યો જન્મ દિવસ,entertainment
Paris Auto Show: જગુઆરની I-Pace ફૂલ ચાર્જમાં ચાલે છે 470 કિમી,tech
લોન્ચ થયો સૌથી વધુ ડિમાન્ડ વાળો Redmi Note 5 Pro ફોન ખરીદીની મળશે તક,tech
ખુશખબર! સળંગ બીજા દિવસે રૂ. 150 સુધી સસ્તુ થયું સોનું,business
અબુ સાલેમની પૂર્વ માશૂકાને પાસપોર્ટ કેસમાં મળ્યો મોટો ઝટકો,entertainment
"શું નોટબંધીથી આતંકવાદ અટકશે? ઇકોનોમી ક્યાં જશે? શું માને છે એક્સપર્ટ, જાણો",business
"બોલ્ડ સીન્સથી ભરપૂર છે આ ફિલ્મ, અભિનેત્રીએ કહ્યું- ફિલ્મની ડિમાન્ડ હતી",entertainment
"PM KISAN: જો તમારા ખાતામાં રૂ. 2,000 ન આવ્યા હોય તો આ રીતે કરો ફરિયાદ",business
VIDEO: જેક્લિન જેવી લચીલી બોડી મેળવવી હોય તો કરવી પડે આવી મહેનત,entertainment
મર્ડરથી ચર્ચામાં આવેલી બોલ્ડ અભિનેત્રી મલ્લિકા શેરાવત પાસે ઘર ભાડું ચુકવવાના પૈસા નથી,entertainment
"પર્સનલ લોન લેતી વખતે બેંક નથી જણાવતી આ બાબતો, તમને થાય છે મોટું નુકસાન",business
"હવે ઇન્સ્ટાગ્રામ પર પણ કરી શકશો Payment,આવી રીતે કરશે કામ",tech
"સેન્સેક્સમાં 115 પૉઇન્ટનો ઘટાડો, નિફ્ટી 10570ની પર બંધ",business
#Chaupal : બોલવાની આઝાદી છીનવી લે છે રાજકારણ- રવીના ટંડન,entertainment
ગૂગલની આ ટેકનોલોજીથી જુની તસવરો પણ થઈ જશે રંગીન,tech
બેંકકૌભાંડી નીરવ મોદી બાદ તેના નજીકના 8 સહયોગી પણ દેશ છોડી ભાગ્યા,business
"21 સરકારી બેંકો સાથે એક વર્ષમાં 25,775 કરોડ રૂપિયાની છેતરપિંડી: આરટીઆઈ",business
"હિના ખાને શેર કર્યો એથનિક લૂક, જોઇને વધી જશે દિલની ધડકન",entertainment
"સુરતઃરાંદેર કો.ઓ.બેન્કોમાં ચલણી નોટો જ નથી,ગ્રાહકોને અપાયા 10-10 ના સિક્કા",business
"શેરબજારમાં ભારે ઉતારચઢાવ, 1500 પોઇન્ટના કડાકા પછી સેન્સેક્સ રીકવરી તરફ",business
પતંજલિના 5000 કરોડના બિઝનેશ અંગે શું કહી રહ્યા છે બાબા રામદેવ? જોવો Video,business
શું તમારા ફોનમાં પણ બ્લાસ્ટ થઇ શકે છે?,tech
"લોન્ચ થયું WhatsAppનું ગ્રુપ કોલિંગ ફિચર, આજથી જ યૂઝર્સ કરી શકશે ઉપયોગ",tech
"Netflixની નવી સિરીઝમાં ઇમરાન હાશ્મી બનશે 'જાસૂસ', શાહરુખે કર્યુ સ્વાગત",entertainment
"સુરત કાપડ ઉદ્યોગ બન્યું ઠગાઈનું ઘર,બે બંધુઓ 3કરોડનું ફૂલેકું ફેરવી ફરાર",business
"RBIએ ફરી વધાર્યો રેપોરેટ, મોંઘી થશે ઘરની લોન, શું છે આ રેપોરેટ?",business
કમલ હાસનની દીકરી અક્ષરાની પ્રાઈવેટ તસવીરો થઇ લિક,entertainment
"પત્નીને આપશો ATM કાર્ડ તો થઇ શકે છે મોટું નુકસાન, જાણો તેના નિયમ",business
"ત્રણ મોટી બેંક થશે એક, બેંક ઓફ બરોડા, વિજ્યા, અને દેના બેંકનો વિલયઃ કેન્દ્ર",business
"GES 2017: જ્યારે રોબોર્ટે બનાવી રેટિયો કાંતતા ગાંધીજીની પ્રતિકૃતિ, જુઓ વિડિયો",business
Video:અંડમાનમાં રજાઓ માણી રહી છે 'હેટ સ્ટોરી 2' ની હોટ હિરોઇન,entertainment
"ગ્રાહકોની એક ભૂલથી SBIએ 39 કરોડની કમાણી કરી, જાણો કેવી રીતે ?",business
WhatsApp પર હવે ડિલીટ નહીં થાય સેન્ડ કરેલા મેસેજ! થયો મોટો બદલાવ,tech
"પાણીમાં આગ લગાડી રહી છે કેટરિના કૈફ, બિકિનીમાં જોવા મળ્યો હોટ લુક",entertainment
"પાપડ બિઝનેસથી કરો મોટી કમાણી, સરકાર કરશે લાખો રૂપિયાની મદદ",business
BSNLના 298 રુપિયાના પ્લાનમાં મળશે અનલિમિટેડ કોલ્સ અને 1GB ડેટા,tech
"પોતાનાં રિલેશનશીપ સ્ટેટ્સ પર બોલી પ્રિયંકા, કર્યા ઘણા ખુલાસા",entertainment
આ છે ભારતના 5 સૌથી લોકપ્રિય બ્રાન્ડના સ્માર્ટફોન,tech
TATA Motors : Rs. 180 પરથી આ શેર થોડા જ વખતમાં Rs.240 નજીક પહોંચી જશે!,business
"LICની લિમિટેડ ઓફર, બંધ થયેલી પોલીસી આવી રીતે કરો શરૂ",business
Dhadak screening: જાહ્નવી-ઇશાને પરિવાર અને સેલિબ્રિટી સાથે જોઇ ફિલ્મ,entertainment
"સંજય દત્તની સાથે ડેબ્યૂ કરનારી આ હિરોઇન, ફિલ્મો કરતાં વધુ PHOTOSને કારણે છે ચર્ચામાં",entertainment
"SBIના ગ્રાહકોની મુશ્કેલીમાં વધારો, મોંઘી થઈ કાર અને હોમ લોન",business
"બ્રિટનમાં વેકેશન માણી પરત ફરી જાહન્વી, જેક્લિનનો હતો આવો અંદાજ",entertainment
"મૌની રોયે શેર કર્યો બોલ્ડ અવતાર, ફેન્સના ઉડી ગયા હોશ",entertainment
પોતાની હોટ તસવીરમાં તમામના હોશ ઉડાવી રહી છે આ લોકપ્રિય એકટ્રેસ,entertainment
"Volvoએ ભારતમાં નવી કાર લોન્ચ કરી, આટલો ભાવ છે",tech
"Paytm આપે છે આ 5 એક્સક્લૂસિવ Offer, કેવી રીતે લઈ શકાય ફાયદો?",tech
"BHIM એપમાં થયા મોટા ફેરફાર, હવે તમે કરી શકશો આ કામ",tech
ATMમાંથી પૈસા ઉપાડવાનો વધશે ચાર્જ! પ્રતિ ટ્રાન્જેક્શન ખર્ચાશે રૂ. 20,business
"લગ્ન કરવાનાં છે મલાઇકા-અર્જૂન, કરણ જોહરે લીક કરી ડિટેઇલ",entertainment
Box Office: ગુજરાતી ફિલ્મ 'શું થયુ?'ની રેકોર્ડ બ્રેક કમાણી,entertainment
દક્ષિણ ગુજરાતનો ખાંડ ઉદ્યોગ વિકટ પરિસ્થિતિમાં,business
WhatsAppને ટક્કર આપવા આવી બાબા રામદેવની Kimbho,tech
સુમુલ ડેરી દ્વારા દૂધ ઉત્પાદકોને ભાવમાં રૂ.10નો વધારોઃજોવો Video,business
"સ્વિસ બેંકમાં ભારતીયોનું ધન 50% વધ્યુ, આંકડો 7000 કરોડને પાર",business
જ્યારે સમયસર મૂર્તિ બનાવી શકે છે તો બાકીના કામો માટે આવો ઉત્સાહ કેમ નથીઃ રાજન,business
"જાણો, લગ્ન બાદ આનંદના બદલે કોની સાથે ટાઈમ સ્પેન્ડ કરી રહી છે સોનમ?",entertainment
"માર્ક ઝકરબર્ગને હટાવવા માંગે છે ફેસબુકના શેર હોલ્ડર્સ, આ છે કારણ",tech
"સેન્સેક્સમાં 430 પૉઇન્ટનો ઘટાડો, નિફ્ટી 10,250થી નીચે",business
બમણો ફાયદો! આ બેંકમાં FD ખોલી વ્યાજ સાથે મેળવો જીવન વીમો,business
"PNB કૌભાંડ: નીરવ-મેહુલ ચોક્સીના પાસપોર્ટ રદ્દ, 523 કરોડની સંપત્તિ કરાઈ જપ્ત",business
"વીકએન્ડમાં 'સ્ત્રી'ની રેકોર્ડ તોડ કમાણી, ફક્ત ત્રણ દિવસમાં કમાયા આટલા કરોડ",entertainment
જિયોના પ્લાનને ટક્કર આપવા એરટેલે લોન્ચ કર્યો એકદમ સસ્તો પ્લાન,tech
"માસ્ટરબેશનના સીન પર ટ્રોલ થઈ સ્વરા ભાસ્કર, આપ્યો જડબાતોડ જવાબ",entertainment
"આ કારમાં એક-બે નહીં, છે સાત એરબેગ, ટોપબ્રાંડની ગાડીઓને આપશે ટક્કર",tech
"AI આસિસ્ટેન્ટ ફીચર્સની સાથે લોન્ચ થયો Z18 મિની સ્માર્ટફોન, આ છે ખાસ ફિચર્સ",tech
"આ કંપનીએ લોન્ચ કર્યો એવો સ્માર્ટ ફોન, સળંગ 44 કલાક કરી શકાશે વાત",tech
